system,finding_id,domain,tag,verifier_status,confidence,claim,source_id,verbatim_quote,label
,f-AUQ005-024,regulatory,SOURCE,verified,0.95,"Reclamation of residue stockpiles and residue deposits was moved to NEMWA, requiring a waste management licence.",file:///C:/Users/mtlb/code/sea2/corpora/au-token-regulatory/cdh-ataqua-revisited-2024.html,"This was later moved to the National Environmental Management: Waste Act 59 of 2008 (NEMWA), requiring that a waste management licence be obtained for reclamation of residue stockpiles and residue deposits.",
,f-AUQ008-003,regulatory,SOURCE,flagged,0.9,"In Austria, offerings between EUR 250,000 and EUR 2 million may use an information sheet instead of a full prospectus, while offerings between EUR 2 million and EUR 5 million may use a simplified prospectus.",https://cms.law/en/int/expert-guides/cms-expert-guide-to-security-token-offerings/austria,"Alternative Options: EUR 250,000 to 2 million - Information sheet instead of full prospectus; Under EUR 250,000 - No documentation required; EUR 2 to 5 million - Simplified prospectus.",
,f-AUQ006-006,law,SOURCE,flagged,0.95,"NEMA section 28 establishes duty-of-care obligations requiring those responsible for significant environmental pollution to implement reasonable measures to prevent pollution, or where unavoidable, to minimize and remedy it.",https://scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812014000500008,"Section 28 of the National Environmental Management Act establishes comprehensive duty-of-care obligations for entities causing significant environmental pollution. The provision states that those responsible must implement reasonable measures to prevent pollution or, where unavoidable, to minimize and remedy it.",
,f-AUQ011-008,tokenization,SOURCE,verified,0.95,"ERC-3643 applications include securities such as stocks, bonds, ETFs, and funds.",https://rejolut.com/blog/erc3643-vs-erc1400/,"ERC-3643 Applications: Securities (stocks, bonds, ETFs, funds); Physical commodities and rare objects; Digital currency and e-money; Loyalty programs; Music rights and royalties.",
,f-AUQ003-007,tax,SOURCE,flagged,0.95,"The Mineral and Petroleum Resource Royalty (MPRR) is triggered on the transfer of minerals extracted within the Republic, and became effective in March 2010.",https://www.sars.gov.za/types-of-tax/mineral-and-petroleum-resource-royalty/,Mineral and Petroleum Resource Royalty (MPRR) is triggered on the transfer of minerals extracted within the Republic. The royalty became effective in March 2010,
,f-AUQ007-007,mining-valuation,SOURCE,flagged,0.95,"Where Measured and Indicated Mineral Resources or lower-confidence parameters are used in the Income Approach, the higher risk should be recognised by means such as a higher discount rate, reducing the quantum of Mineral Resources, or delaying production timing.",file:///C:/Users/mtlb/code/sea2/corpora/au-token-regulatory/samval-2016.pdf,"the higher level of risk or uncertainty be should be recognized by some means, which might include a higher discount rate, reducing the quantum of the Mineral Resources, or delaying the timing of production of the Mineral Resources in the Income Approach model, or some other appropriate means of reflecting the higher risk of including Mineral Resources.",
,f-AUQ004-008,law,SOURCE,flagged,0.97,The Draft Mineral Resources and Development Bill was published for comment on 20 May 2025 with a comment deadline of 13 August 2025.,https://www.ensafrica.com/news/detail/10172/draft-mineral-resources-and-development-bill-,Draft Mineral Resources and Development Bill published for comment. Publication date: 20 May 2025. Comment deadline: 13 August 2025.,
,f-AUQ011-006,tokenization,SOURCE,verified,0.9,"ERC-1400 allows dividing each holder's balance into sub-balances with certain characteristics or limitations, clarifying ownership rights.",https://rejolut.com/blog/erc3643-vs-erc1400/,"The standard allows dividing each holder's balance into sub-balances with certain characteristics or limitations, clarifying ownership rights.",
,f-AUQ002-001,legal,SOURCE,verified,0.98,De Beers Consolidated Mines (Pty) Ltd v Ataqua Mining (Pty) Ltd (case no: 3215/06 Orange Free State Provincial Division) became authoritative in relation to the ownership and transferability of tailings dumps.,file:///C:/Users/mtlb/code/sea2/corpora/au-token-regulatory/cdh-ataqua-revisited-2024.html,"De Beers Consolidated Mines (Pty) Ltd v Ataqua Mining (Pty) Ltd (unreported, case no: 3215/06 Orange Free State Provincial Division) (Ataqua) became authoritative in relation to the ownership and transferability of tailings dumps.",
,f-AUQ007-006,mining-valuation,SOURCE,flagged,0.97,"Under SAMVAL 2016, Mineral Reserves used in the Income Approach should be based on a Life of Mine Plan for an operating mine, or at least a Pre-feasibility Study for a mine project.",file:///C:/Users/mtlb/code/sea2/corpora/au-token-regulatory/samval-2016.pdf,"Mineral Reserves should be based on a Life of Mine Plan for an operating (going concern) mine, or at least a Pre-feasibility Study for a mine project.",
,f-AUQ003-011,tax,SOURCE,flagged,0.9,"The 2008 MPRRA references the MPRDA (2004) as its legislative foundation, with the Royalty Act applying to mining rights granted in terms of the MPRDA.",https://scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532011000700003,"The paper references the Mineral and Petroleum Resources Development Act (MPRDA, 2004) as the legislative foundation, noting that the Royalty Act applies to mining rights granted in terms of the MPRDA.",
,f-AUQ001-010,regulation,SOURCE,flagged,0.95,Non-compliance with the FSCA crypto asset licensing requirement is an offence carrying penalties of up to R10 million in fines or 10 years imprisonment.,https://www.cliffedekkerhofmeyr.com/en/news/publications/2022/Practice/Finance/finance-and-banking-alert-20-october-2022-fsca-declares-crypto-assets-as-a-financial-product-.html,Non-compliance constitutes an offense carrying penalties up to R10 million in fines or 10 years imprisonment.,
,f-q-smoke-001-005,regulatory,SOURCE,flagged,0.95,"The annual rehabilitation plan is relevant for a period of 1 year, after which the plan will be updated by the holder of a right or permit.",file:///C:/Users/mtlb/code/sea2/corpora/au-token-regulatory/nema-financial-provisioning-regs.pdf,"The annual rehabilitation plan will be relevant for a period of 1 year, after which the plan will be updated by the holder of a right or permit",
,f-AUQ001-003,regulation,SOURCE,flagged,0.98,The FSCA crypto asset declaration takes effect on the date of publication (19 October 2022).,file:///C:/Users/mtlb/code/sea2/corpora/au-token-regulatory/fsca-crypto-declaration-2022.pdf,This Declaration takes effect on the date of publication.,
,f-AUQ005-014,regulatory,SOURCE,flagged,0.96,Cyanide is listed in the Annex of GN R635 with both TCT and LCT threshold values.,https://cbss.co.za/revise-the-south-african-waste-classification-system/,Cyanide is listed in the Annex of GN R635 with both TCT and LCT threshold values,
,f-AUQ005-008,regulatory,SOURCE,flagged,0.97,"The South African leach test under GN R635 uses a distilled/deionised water shake-extraction methodology comparable to ASTM D3987, not the acidic acetate buffer of USEPA Method 1311 (TCLP).",https://cbss.co.za/revise-the-south-african-waste-classification-system/,The South African leach test uses a distilled/deionised water shake-extraction methodology comparable to ASTM D3987 rather than the acidic acetate buffer of USEPA Method 1311 (TCLP),
,f-AUQ007-011,mining-valuation,SOURCE,verified,0.95,Income-based methods such as DCF are acceptable only when Reserves (based on Indicated Resources and at least a PFS) have been estimated.,https://scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532020001000004,"It is only when Reserves (based on Indicated Resources and at least a PFS) have been estimated that Income-based methods, particularly the popular Discounted Cash Flow, are acceptable.",
,f-AUQ005-006,regulatory,SOURCE,verified,0.96,"LCT2 values were derived by multiplying LCT1 values by a factor of 2, and LCT3 limits by multiplying LCT2 by a factor of 4.",https://cbss.co.za/revise-the-south-african-waste-classification-system/,"LCT2 values were derived by multiplying the LCT1 values with a factor of 2, and LCT3 limits were obtained by multiplying the LCT2 value with a factor of 4.",
,f-AUQ004-003,law,SOURCE,flagged,0.97,"If owners fail to apply for a right or permit over the historic residue stockpiles within the two-year period, custodianship of the minerals in such historic residues and stockpiles reverts to the State.",https://beechveltman.com/news/draft-mineral-resources-development-amendment-bill-published-on-20-may-2025/,"If the owners fail to apply for a right or permit over the historic residue stockpiles within the two-year period set out above, custodianship of the minerals in such historic residues and stockpiles shall revert back to the State.",
,f-AUQ011-001,tokenization,SOURCE,verified,0.95,"ERC-3643 implements permissioned token transfers through an ONCHAIN ID system containing attestations signed by reputable claim issuers, restricting transfers to verified participants.",https://rejolut.com/blog/erc3643-vs-erc1400/,ERC-3643 implements permissioned token transfers through an ONCHAIN ID system. This digital identity framework contains attestations that have been signed by reputable claim issuers. The protocol restricts transfers to verified participants regardless of blockchain permissions.,
,f-AUQ011-012,tokenization,SOURCE,verified,0.95,An investment firm using the ERC-3643 standard could issue security tokens representing shares in a private fund only to accredited investors who have passed KYC/AML checks.,https://www.chainalysis.com/blog/introduction-to-erc-3643-ethereum-rwa-token-standard/,"an investment firm using the ERC-3643 standard could issue security tokens representing shares in a private fund, but only to accredited investors who have passed KYC/AML checks.",
,f-AUQ004-011,law,SOURCE,flagged,0.95,"Under Ataqua, the MPRDA does not apply to any tailings dumps established prior to 1 May 2004 and the processing of such dumps does not require a mining right or permit under the MPRDA.",file:///C:/Users/mtlb/code/sea2/corpora/au-token-regulatory/cdh-ataqua-revisited-2024.html,"in terms of Ataqua, the MPRDA does not apply to any tailings dumps established prior to 1 May 2004 and any processing of such dumps does not require a mining right or permit under the MPRDA.",
,f-AUQ001-012,regulation,SOURCE,flagged,0.95,"Since 1 June 2023, the FSCA has processed 512 Crypto Asset Service Provider applications under FAIS, with 300 approved, 14 declined, and 121 withdrawn.",https://www.dlapiper.com/en/insights/publications/2026/01/fsca-update-on-licensing-and-supervision-of-crypto-asset-service-providers,"Since 1 June 2023, the regulator has processed 512 applications: 300 approved, 14 declined, and 121 withdrawn.",
,f-q-smoke-001-009,regulatory,SOURCE,flagged,0.95,Section 31H(1)(l) of NEMA was inserted by s 21(f) of Act 2 of 2022 with effect from 30 June 2023.,file:///C:/Users/mtlb/code/sea2/corpora/au-token-regulatory/nema.pdf,[S 31H(1)(l) inserted by s 21(f) of Act 2 of 2022 with effect from 30 June 2023.],
,f-AUQ005-005,regulatory,SOURCE,verified,0.96,LCT1 limit values were obtained by multiplying LCT0 values by a dilution-attenuation factor of 50.,https://cbss.co.za/revise-the-south-african-waste-classification-system/,LCT1 limit values were obtained by multiplying the LCT0 values with a factor of 50 (a dilution-attenuation factor),
,f-AUQ011-002,tokenization,SOURCE,verified,0.95,"ERC-3643 enforces regulations at the smart contract level including KYC/AML, investor accreditation, nation-specific restrictions, holding periods, or transfer limits via an automated validator system.",https://rejolut.com/blog/erc3643-vs-erc1400/,"The standard enforces regulations at the smart contract level, including KYC/AML, investor accreditation, nation-specific restrictions, holding periods, or transfer limits. An automated validator system gates each transaction.",
,f-AUQ007-001,mining-valuation,SOURCE,verified,0.98,"A Scoping Study is defined as a study, other than a Prefeasibility or Feasibility Study, that includes an economic analysis of the potential viability of Mineral Resources.",file:///C:/Users/mtlb/code/sea2/corpora/au-token-regulatory/samval-2016.pdf,"A Scoping Study (also commonly known as a Preliminary Economic Assessment) is defined as a study, other than a Prefeasibility or Feasibility Study, that includes an economic analysis of the potential viability of Mineral Resources.",
,f-AUQ001-017,regulation,SOURCE,flagged,0.95,"Crypto asset providers licensed under FAIS must meet FSP obligations including reporting, disclosure, and fit and proper requirements, and fall under FSCA regulatory oversight and supervision.",https://www.webberwentzel.com/News/Pages/fsca-declares-crypto-assets-a-financial-product.aspx,"Crypto asset providers must now obtain authorization as financial services providers (FSP) under FAIS, meet FSP obligations including reporting, disclosure, and fit and proper requirements, and fall under FSCA regulatory oversight and supervision.",
,f-AUQ004-002,law,SOURCE,flagged,0.95,"Under section 42A of the Draft Bill, owners of historic residue stockpiles may alternatively apply on an exclusive basis for a mining right, small-scale mining permit or artisanal mining permit over the historic residue stockpile if they do not otherwise have an existing right under the MPRDA.",https://beechveltman.com/news/draft-mineral-resources-development-amendment-bill-published-on-20-may-2025/,"(ii) apply (on an exclusive basis) for a mining right, small-scale mining permit or artisanal mining permit over such historic residue stockpile, if they do not otherwise have an existing right under the MPRDA.",
,f-AUQ002-005,legal,SOURCE,flagged,0.97,"The MPRDA was amended such that it also applies to tailings dumps created under old order rights on or after the commencement date of the amendments, 7 June 2013.",file:///C:/Users/mtlb/code/sea2/corpora/au-token-regulatory/cdh-ataqua-revisited-2024.html,"the MPRDA also applying to tailing dumps created under old order rights on or after the commencement date of the amendments, being 7 June 2013.",
,f-AUQ002-009,legal,SOURCE,flagged,0.9,"Legacy tailings and slag dumps have legacy ownership challenges potentially due to multiple changes in ownership and/or the liquidation of known registered owners, and when original operators disappear management falls outside active legislative mandates.",https://www.saimm.co.za/journal-presidents-corner/1241-legacy-tailings-and-slag-dumps-friend-or-foe,"both types of process residues have legacy ownership challenges, potentially due to multiple changes in ownership and/or the liquidation of known registered owners. When original operators disappear, responsibility becomes unclear. The management of the historical tailings and slag dump facilities then falls outside the active legislative mandates and best practice guidelines.",
,f-AUQ001-014,regulation,SOURCE,flagged,0.95,"Under the Financial Markets Act 2012, a central securities depository must be licensed under section 29.",file:///C:/Users/mtlb/code/sea2/corpora/au-token-regulatory/fma.pdf,A central securities depository must be licensed under section 29.,
,f-AUQ006-008,law,SOURCE,flagged,0.9,"Where mines no longer exist or ownership cannot be traced, the NEMA liability regime cannot function effectively, shifting remediation costs to taxpayers.",https://scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812014000500008,"Where mines no longer exist or ownership cannot be traced—the reality for many abandoned operations—the liability regime cannot function effectively. This creates a paradox where comprehensive legal provisions exist but cannot be enforced against nonexistent entities, shifting remediation costs to taxpayers.",
,f-AUQ008-011,regulatory,SOURCE,flagged,0.9,"MiCA Article 6 specifies content, structure, and presentation standards for crypto-asset white papers, and Article 15 establishes liability for misleading or inaccurate information.",https://crypto-risk-metrics.com/en/mica-white-paper-obligations-for-casps/,"Article 6 specifies content, structure, and presentation standards; Article 12 imposes ongoing update obligations when material changes occur; Article 15 establishes liability for misleading or inaccurate information.",
,f-AUQ007-015,mining-finance,SOURCE,verified,0.92,"Discount rates for mining feasibility studies generally fall between 5% to 10%, with higher rates (15%+) applied to riskier projects.",https://www.miningdoc.tech/question/what-discount-rates-are-typically-applied-in-mining-project-economics-and-how-are-they-determined/,"Discount rates for mining feasibility studies generally fall between 5% to 10%, with higher rates (15%+) applied to riskier projects.",
,f-AUQ011-010,tokenization,SOURCE,verified,0.95,"ERC-3643 can embed identity verification, transfer restrictions, and compliance logic directly into a token, making it ideal for regulated assets like real estate, securities, and private funds.",https://www.chainalysis.com/blog/introduction-to-erc-3643-ethereum-rwa-token-standard/,"ERC-3643 can embed identity verification, transfer restrictions, and compliance logic directly into a token, making it ideal for regulated assets like real estate, securities, and private funds.",
,f-AUQ008-004,regulatory,SOURCE,flagged,0.85,Austrian prospectus preparation through FMA approval takes approximately 3 to 4 months.,https://cms.law/en/int/expert-guides/cms-expert-guide-to-security-token-offerings/austria,"Expect approximately 3 to 4 months from prospectus preparation through Financial Market Authority approval, though this depends on token complexity and regulatory responsiveness.",
,f-AUQ011-015,regulation,SOURCE,flagged,0.95,"The SAMVAL Code applies to the valuation of mineral assets for any report intended for public release and issued for a purpose regulated by the Companies Act, other provisions of South African law, or by the listing requirements of the JSE and other recognized stock exchanges.",file:///C:/Users/mtlb/code/sea2/corpora/au-token-regulatory/samval-2016.pdf,"The SAMVAL Code applies to the valuation of mineral assets for any report intended for public release and issued for a purpose regulated by the Companies Act, other provisions of South African law, or by the listing requirements of the JSE and other recognized stock exchanges.",
,f-AUQ001-013,regulation,SOURCE,flagged,0.92,"Miners, node operators, and NFT providers are activities the FSCA has clarified fall outside current crypto asset service provider licensing requirements under FAIS.",https://www.dlapiper.com/en/insights/publications/2026/01/fsca-update-on-licensing-and-supervision-of-crypto-asset-service-providers,The FSCA clarified that certain activities fall outside current requirements: Miners and node operators (infrastructure participants without direct consumer interaction); NFT providers (treated as lower-risk due to uniqueness; future amendments may expand this); and Crypto-derivative providers (already regulated under the Financial Markets Act as securities).,
,f-AUQ007-022,mining-valuation,SOURCE,flagged,0.97,"Under SAMREC 2016, a Scoping Study may not include historical estimates, Exploration Results, Exploration Targets or Mineralisation.",file:///C:/Users/mtlb/code/sea2/corpora/au-token-regulatory/samrec-2016.pdf,"A Scoping Study may not include historical estimates, Exploration Results, Exploration Targets or Mineralisation.",
,f-AUQ005-009,regulatory,SOURCE,verified,0.96,SPLP-style (Method 1312) sulfuric/nitric simulated-rain leachate is not the prescribed national leach method in South Africa.,https://cbss.co.za/revise-the-south-african-waste-classification-system/,SPLP-style (Method 1312) sulfuric/nitric simulated-rain leachate is not the prescribed national method.,
,f-AUQ003-005,law,SOURCE,verified,0.95,"Per Ataqua, the MPRDA does not apply to any tailings dumps established prior to 1 May 2004, and processing of such dumps does not require a mining right or permit under the MPRDA.",file:///C:/Users/mtlb/code/sea2/corpora/au-token-regulatory/cdh-ataqua-revisited-2024.html,"in terms of Ataqua, the MPRDA does not apply to any tailings dumps established prior to 1 May 2004 and any processing of such dumps does not require a mining right or permit under the MPRDA.",
,f-AUQ005-010,regulatory,SOURCE,verified,0.97,All TC and LC analyses under GN R635 must be conducted by SANAS-accredited laboratories.,https://cbss.co.za/revise-the-south-african-waste-classification-system/,All TC and LC analyses must be conducted by SANAS-accredited laboratories.,
,f-AUQ008-001,regulatory,SOURCE,flagged,0.9,"Under Austrian law, a prospectus must be published at least one banking day before a public offering of security tokens, unless an exemption applies.",https://cms.law/en/int/expert-guides/cms-expert-guide-to-security-token-offerings/austria,"A prospectus must be published at least one banking day before public offering of security tokens, unless an exemption applies.",
,f-AUQ007-014,mining-valuation,SOURCE,flagged,0.94,"Measured Resources support Proved Reserves at Feasibility Study level, where DCF is the primary valuation tool.",https://scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532020001000004,"Measured Resources support Proved Reserves at Feasibility Study level, where DCF is the primary valuation tool.",
,f-AUQ005-013,regulatory,SOURCE,flagged,0.97,"Residues that leave the mining footprint for off-site landfill disposal, including process residues from cyanide-leach retreatment plants reprocessing pre-2004 tailings, revert to assessment under GN R634/R635/R636.",https://cbss.co.za/revise-the-south-african-waste-classification-system/,"residues that leave the mining footprint for off-site landfill disposal (for example, processed reside drums, contaminated soils, or process residues from cyanide-leach retreatment plants reprocessing pre-2004 tailings) revert to assessment under GN R634/R635/R636",
,f-AUQ005-022,regulatory,SOURCE,flagged,0.95,"The leach test (deionised-water shake under GN R635, or TCLP/SPLP in jurisdictions that adopt US methods) determines whether retreatment residue is Type 1 (Class A hazardous), Type 3 (Class C) or Type 4 (Class D general).",https://www.cnfreereagent.com/news/cyanide-tailings-discharge-standards-gold-cyanidation-plants/,"the leach test (deionised-water shake under GN R635, or TCLP/SPLP in jurisdictions that adopt the US methods) determining whether the residue is Type 1 (Class A hazardous), Type 3 (Class C) or Type 4 (Class D general)",
,f-AUQ004-005,law,SOURCE,flagged,0.9,"The Beech Veltman commentary states that the webpage does not address acquisitions occurring before the Bill's commencement, only the post-enactment two-year window for regularisation.",https://beechveltman.com/news/draft-mineral-resources-development-amendment-bill-published-on-20-may-2025/,"The webpage does not address acquisitions occurring before the Bill's commencement, only the post-enactment two-year window for regularisation.",
,f-AUQ005-020,mining,SOURCE,verified,0.94,"Cyanide-leach retreatment of pre-2004 gold tailings typically generates a re-deposited residue with WAD cyanide well below 50 mg/L after destruction by SO2/air, H2O2 or Caro's acid.",https://www.cnfreereagent.com/news/cyanide-tailings-discharge-standards-gold-cyanidation-plants/,"cyanide-leach retreatment of pre-2004 gold tailings (such as the Witwatersrand reclamation projects) typically generates a re-deposited residue with WAD cyanide well below 50 mg/L after destruction (SO2/air, H2O2 or caro's acid)",
,f-AUQ004-007,law,SOURCE,flagged,0.9,The Bishop Fraser commentary states that its webpage content does not contain further information regarding tailings SPV acquisitions predating the Bill or specifics beyond the basic two-year regularisation framework and State reversion mechanism.,https://bishopfraser.co.za/incoming-mineral-law-developments-in-south-africa-the-2025-mineral-resources-development-bill/,The webpage content does not contain further information regarding tailings SPV acquisitions predating the Bill or specifics beyond the basic two-year regularisation framework and State reversion mechanism outlined above.,
